Text,True_Sentiment,Logistic_Regression_Guess,VADER_Guess
"I like to brew myself a single cup of coffee every once in a while. I have the Melitta filters and a plastic cone holder. I place both on top of a coffee cup and pour in the hot water. This method works well once. If you plan to have a second cup of coffee, add a touch more coffee grounds, and run through another round of water, it will not work well. The flow is blocked and slow. Even if you move around the grounds with a spoon, the drip is too slow to warrant a second use.<br /><br />So these are good once. If you want to save on waste and cut down on your garbage creation, pick another method.<br /><br />I visited their website and couldn't find any information on their annual donations to forest conservation. I did eventually find them listed as a corporate partner (AKA donor) on the American Forests . org website. It's nice to see companies giving back to the environment.",Neutral,Positive,Positive
"A short background on the eating habits of my two cats, one is super finicky and the other cat will eat just about anything. When even my non-picky cat wouldn't touch any of it, I knew something was not right with this food. They refused to eat any of it. I like the premise behind the food, all natural and grain-free, but I am going to have to go back to the prior food my cats like. Hopefully my local animal shelter can make use of the food for their cats, if they even eat it.",Negative,Positive,Positive
"I did not order this online, but years ago they used to sell this in stores. My father absolutely loves this dinner and so do I! As a fan of spicy food this spaghetti is slightly spicy, but it does not overwhelm the taste. I will definately order this soon since they have stopped selling it in stores for years",Positive,Positive,Positive
"I've been reading amazing things about Cacao, health benefits, etc., so I thought I would purchase these for my family and see if I couldn't ""work"" them into our routine.  I have to be honest, it really hard as no one in my family (including me) really likes the flavor.  Raw eating is new to me so maybe in a year or so this will be a real treat.  I agree the price and the fact that they are organic is GREAT.  I am still searching for a good idea on how to use them?",Neutral,Positive,Positive
"I'm in the latter months of pregnancy and it is becoming harder and harder to get a good nights sleep. In lieu of not being able to find my go-to Chamomile at the grocery, I reached for Bedtime Story since in the tag line it expressed being Caffeine Free and made with Real Spearmint and Chamomile Flowers. I was curious what the Spearmint would be like with the Chamomile so I scooped Lipton Bedtime Story with plans to make a cup that night.<br /><br />Upon opening the box, I was hit with the tingly scent of Spearmint. I brewed a cup, curiously wondering if the tea would be more minty than I wanted. After letting it steep for a few minutes, I added my favorite accompaniments and sipped. Delicious. It's a soft, relaxing blend of Chamomile. The Spearmint is not overpowering like I had worried it might be. The ingredients listed are Spearmint Leaves, Chamomile Flowers, Peppermint Leaves, Orange Peel, Lemon Grass, Spice, Chicory Root. I would say that along with the Chamomile and Mint flavors, the Chicory Root, stands out a bit, giving the tea a hint of earthiness.<br /><br />Bedtime Story definitely relaxed my body and I've been sleeping like a baby (pun intended) ever since.",Positive,Positive,Positive
"I received a variety of Stash teas as a Bridal Shower souveneir over a year ago. I'm sorry i took so long to bust 'em open. Stash is an amazing quality with natural tasting, comforting flavours in both the Herbal and Black Tea lines. I am so impressed, I've become a Stash convert.<br /><br />This Double Chai is very well balanced in it's spices, but still comforting and yet refreshing at the same time. I made mine mostly according to the directions (tea is easy that way), but i did use sweetened condensed milk instead of regular milk and sugar. It may not be 'Starbucks Quality' as one reviewer lamented, but I'm sure the beauty of Chai is that it can be well made in a variety if different ways. And while i've never been big into Chai, in the future, I'm definitely going to keep a stock of this Chai tea in my pantry. And unlike many other common brands of black tea, this one does not go bitter after 5-10 minutes of steeping. I'm used to having to be vigilant about removing the bag after 3 minutes, because I'm sensitive to the bitter over-steeped taste of lower quality black teas. That was not at all an issue with either of the black teas I've tried from this company. I can't wait to buy more Stash Teas.",Positive,Positive,Positive
I bought this item to eat healthier and was very surprised at the fantastic taste.  My grandson loves them.  My friends even asked me to order more boxes and they are junk food nuts but didn't care that these are a healthy alternative.  They love them too!,Positive,Positive,Positive
"I would caution anyone ordering this to realize that the chocolate melts in warm temperatures.  Mine arrived in a chocolate coated bag.  I put it in the fridge to try to solidify it a bit, but it wasn't a big improvement.  Makes it hard to eat out of the bag.  I really didn't want a chocolate flavored cereal, so I was planning on enjoying this as an eat out of the bag snack, but the melted chocolate makes it messy.  The chunks are an okay size for that, but it would probably work better as a cereal since the chocolate melted.<br /><br />When I purchase granola, I usually look for ones with either almonds or pecans.  This has neither. The only solids listed in the ingredients are whole grain rolled oats and chocolate chunks (first 2 ingredients). The rest of the ingredients are predominately sweeteners.  A serving is 1/2 cup and that has 220 calories, 50 of which are from fat.  There are 4g of fiber, 13g of sugar, 20g of other carbohydrates, and 5g of protein.  Just because something is ""natural"" doesn't mean it is good for you.",Neutral,Positive,Positive
"these are good, but stick together in the summer, not sure how you would receive in winter.  I think I like them better without the choc.",Neutral,Positive,Positive
"The first time I made this I didn't think was so spicy, second or third was!  Very, very good! All the ingredients are packaged individually in the box, fresh tasting!",Positive,Positive,Positive
"These biscuits are delicious.  I ordered 3 packs and the whole family loves them.  We are ordering more today.  They are great with a hot cup of tea or a glass of milk.  They are crisp and yet chewy at the same time. The biscuits are made of good ingredients and are low in sugar, and yes they are addicting!",Positive,Positive,Positive
"I was very pleased with the price, quality and taste of this coconut.  I consume a lot of it by the spoonful and this was definitely the best value I could find.",Positive,Positive,Positive
"Okay, I love this stuff; it's great to use in numerous dishes as a flavor enhancer. So, why am I writing this review? Because some people on this site like to rant and rave about a product technically having MSG. For the record and I have six different flavors of this product, there is no mention of this product being MSG free on any of the packaging. Okay? So, stop giving bad reviews to this product because you claim they advertise as MSG free. They do not do that, and you are spreading lies. You know who you are! Stop giving this product bad reviews for made up reasons. Read the label!",Positive,Negative,Positive
I thoroughly enjoy this product.  It mixes well with hardly any residue in the bottom of your cup and has excellent flavor.  A wonderful alternative to coffee!,Positive,Positive,Positive
"I only bought this because the breeder where I bought my cat said she wouldn't eat anything else. I'm surprised my cat didn't starve to death, because she wouldn't touch this stuff, nor would my other cat. I donated it to the Humane Society.",Negative,Negative,Positive
I loved this gummy. I had bout the green one ..Very tasty and delicious! I would buy it again. Thanks!,Positive,Positive,Positive
"I've bought Joyva tahini for 4 years and never had a bad experience until the can I bought yesterday. Made my usual hummus with the same recipe I always use and simply can't get over the nasty, tar-like, metallic off-taste. Tasted the tahini straight and its definitely the tahini, not the chickepeas or olive oil. Throwing that batch out and taking the can back. Glad to see others have noticed it too, and will wait until Joyva gets their quality control back. Up until this can, it's always been good.",Negative,Positive,Positive
"My very first impression of this was that it tasted fine, but if that were true, I wouldn't have so many bottles of it left still, and it wouldn't be so hard to finish an open bottle of it. In the meantime I've zipped through a couple cases of V8 Splash (which doesn't have veggies in it though), and used a couple cases of regular V8 juice as pasta sauce (cooking pasta in V8 instead of water in the microwave - V8 turns to sauce while pasta cooks - one step).",Negative,Positive,Positive
"I was lucky to have ordered chips on a Virgin America flight and was so excited to see them on Amazon!  They are light and crispy and they do not have MSG or anything bad in them.  They only have about 100 calories per bag and around 3 grams of fat.  I love them!  If you are a chip lover, try them!",Positive,Positive,Positive
"I didn't read the label before I tried the drink, so I was a little surprised by the carbonation.  It had a tangy flavor which was possibly enhanced somewhat by the carbonation.  However, I've been a long-time drinker of the Tropicana Orange-Tangerine juice and Switch is simply not as good, IMHO.  If I wasn't already a Tropicana drinker, I might be interested in the Switch version of Orange-Tangerine, but I'm not going to ""switch"".  Sorry for the pun.",Neutral,Positive,Neutral
On the good side it helps me with nighttime leg cramps.<br />On the bad side it gives me diarrhea.<br />Trying to change the amount to see if I can lessen the bad results...,Neutral,Positive,Negative
This is one of my favorite teas. It has green tea but tastes only<br />like black tea. And it's organic. When I could no longer find it in<br />the stores near me I bought it through Amazon at a price less than<br />stores used to sell it for.,Positive,Positive,Positive
"This is the best stuff!!! Tastes great and is less expensive than the other brand. I really like the automatic delivery, Its always as fresh as can be.",Positive,Positive,Positive
"Plum Organics make super tasty ""green"" foods for baby.  I had been having difficulty in getting my daughter to eat anything green (broccoli, peas, spinach, etc...) but she LOVES this!!  I even tried it and its good.  Tastes mostly like apples but I can see the broccoli in it",Positive,Positive,Positive
"MY dog doesn't like many treats so I was delighted when I found the small packs at Petsmart.  They no longer carry them. Going online, I discovered that you sell them. For several months I have purchased these from you and my dog has loved them.  My last order seems to have changed.  The texture and color seem different and my dog won't eat them at all.  I don't know if this is a one time thing or the change is permanent.  I am very, very disappointed. The other treats I bought at the same time are the same, or at least she eats them sometimes.<br />So I probably won't be purchasing the dumbbells again, especially since the price has gone from under $30 to $40...<br />Thanks<br />Marye",Negative,Positive,Positive
"Copper Moon Dark Roast Sumatra coffee is my favoite and when friends stop by,<br />they are amazed at how great my coffee is and wants to know what I do and I just tell them""It's Magical"".",Positive,Positive,Positive
"I buy treats for my dogs in bulk to have them on hand. I opened this package 2 months after purchase, which meant it is too late to return, and found the product to be moldy. This is even though the expiration date hasn't been reached yet. Also, the sweet potatoes are soft, as if they are not fully dehydrated. I've bought this product at local stores and haven't had a problem. This must be part of a bad batch. I won't be buying this product or other dog treats from Amazon again, as now I am out of the money I paid.",Negative,Negative,Positive
"This is a wonderful cubed sugar, some of the sweetest I've ever had.  Shouldn't have, but I ate it like candy.  Reminded me of high end resturaunts from childhood.",Positive,Positive,Positive
"What I really like about this treat is that it is something you hold while your dog licks it--rather than him taking his chewy someplace and getting busy with it, he ends up looking at me, holding my gaze for as long as I'll let him keep lickin' that rollerball. Awesome for my friend's dog who's old and can't chew. (This is the liver flavor--which smells awesome. The bacon did not ship, but my pup doesn't mind.)",Positive,Positive,Positive
"If you love honey, you will really love this!!!! We love to eat it on toast. My wife eats it by the spoonful. Very glad we tried it. This will be one we continue to buy, and have on hand.",Positive,Positive,Positive
This soup was okay for a quick meal from a package.  Homemade from scratch is always better.  This soup mix will do out in the wilderness.,Neutral,Positive,Positive
"Since I really loved Buffalo Bill's Extra Smokey Links, I thought I would enjoy trying this beef jerky.<br />Big disappointment.  Way too dry and tough.  Very little smoked flavor.  Average ho-hum jerky taste.  Buy Buffalo Bill's Extra Smokey Links instead!",Negative,Positive,Positive
"My job has me running around on my feet for 8 hours a day so it's important that I stay hydrated.  Lately I have been drinking whatever I bring from home (usually something similar to <a href=""http://www.amazon.com/gp/product/B0026I0O14"">Propel Fitness Water</a>) or just water from the dispenser.  The thing I've noticed with the sports drinks are that they actually leave me thirstier and water usually leaves me full once I'm able to drink enough to quench my thirst.<br /><br />I did read some of the reviews before deciding to try <a href=""http://www.amazon.com/gp/product/B005HG9ET0"">Essentia 9.5 pH</a> and based on them being mostly positive I wanted to give it a try. The bottle I received lasted me the entire day at work and I didn't have to go searching for more which was nice. The taste was much better than tap and even better than the bottled dispenser water we have.  As for the claims of ""helps maintain normal blood pressure, restful sleep, heart health, muscle strength and more"" I can't really prove or disprove them after just one bottle. The only thing I can say is that I did feel like it quenched my thirst better than anything I've been drinking. Is it all in my imagination? I don't think so, which is why I've actually purchased more from my local grocery store (the price was just a bit better than here on Amazon).",Positive,Positive,Positive
"I consider the GoLean ""chewy"" bars to be superior to any other nutritional bar out there, and I think this is the best flavor.  I often carry them for lunch (paired with a baggie of fresh veggies).  The calorie count is a little high for a snack for me, but as a lunch entree, it is low.  Highly satisfying, it has none of the over sweetness or ""roots and bark"" quality of many others on the market. It has a decent fiber count but never tastes mealy or grainy.",Positive,Positive,Positive
"I love this tea.. It was recomended to me by my Dr. to help during pregnancy.. Doesn't taste too bad with some honey, and makes me feel more relaxed.",Positive,Positive,Positive
"this is the best.  it brings back memories when we used to have this all the time in Massachusetts.  I have not been able to find anything close in years.  Thank you for this piccalilli.  I will be buying more, I will not share my first jar with anyone.  it is all mine!!!!!",Positive,Positive,Positive
"the size of each particle is quite good for dog training. and the smell is very strong, you cannot put them in a open bag, must seal it everytime you gave it as treat, otherwise your dog will stand up trying to fetch more.<br />i believe the taste is great from my puppy's affection for it, and i will purchase more for sure.",Positive,Positive,Positive
"I love wasabi peas and have ordered different brands and have bought every type imaginable off the grocery store shelves.  The peas from JR Mushrooms & Specialties are the best I've had to date.<br /><br />I like my wasabi peas to have a little kick, so if you like them that way too these are the peas to get. The shipping was fast as well.  I even ordered some when I was in Afghanistan and they were delivered quickly and in perfect condition.<br /><br />As far as price goes, you can't beat it.  I usually order the 5 lbs of peas and it comes in either 1 large or 2 medium sized zip lock bags so you can take what you want and seal it up for later use.",Positive,Positive,Positive
"I keep trying to like these ""natural"" sweeteners, but they always come up short in the flavor category. This is another one that, like Stevia, I find has a bitter aftertaste. Also, with the main ingredient simply a more processed version of sugar, I'm not really seeing any advantage to using Nectresse over other highly processed sweeteners like Splenda.<br /><br />Nice container though.",Negative,Positive,Positive
"When I decided to give my cats canned food I tried this excellent canned food but none of my four cats cared for it.  The food would sit there and they would sniff it and turn their noses.  I gave it four stars because the ingredients are excellent.  Three of my cats liked the wellness canned food, and the last one only likes dry food.",Positive,Positive,Positive
"I buy at least 4 packs a week, so I wish they cost less! I even tried stuffing real p-nut butter in other bones, but my 2 bichons could tell the difference. Like the first reviewer, my dogs are crazy about these little bones. It's no use trying to give them something else. Only these will do. Once they suck all the p-nut butter off, they want a new bone. So, they are limited to one per day.  Great little product.",Positive,Positive,Positive
"These are supposed to be the candies with the chewy strawberry center.  However, most of the candies in the package were just strawberry hard candies.  Very disappointed.",Negative,Positive,Negative
"I'll bet you can't eat just one of Lundberg's Original Rice Chips!!They're delicious,crunchy,and have a wonderful flavor!!",Positive,Positive,Positive
I would not purchase this coffee again. Although drinkable- it needs a lot of creamer to drown out the bitterness.,Negative,Positive,Negative
"Wow. This is the best waffle mix I've ever had. I haven't tried to make pancakes with it because I just bought a new waffle maker & I make waffles every weekend for me and my boyfriend. So yeah, this mix is the absolute best!!! I cut the mixture in half (using a kitchen scale) and adjust the amounts of milk, oil and eggs accordingly. I couldn't think of a better breakfast to have on the weekend!!",Positive,Positive,Positive
After reading all of the great reviews I decided to try this...my baby is 7 weeks old and I am trying to stock up feedings in the freezer so I needed to produce more milk to do so. I tried the tea for 2 days and it actually DECREASED my milk supply so I stopped. So I read up on other ways to increase my milk supply...I read eating oatmeal helps and of course drinking lots of water. The oatmeal REALLY works!! I suggest eating oatmeal if nothing else is working for you.,Negative,Positive,Positive
"If you really have a sweet tooth, this is the bar for you! I guess that if I didn't quite want a candy bar I would like this, especially as it's only 110 calories.  I generally prefer more healthy tasting granola bars with more granola, but then they do have more calories as they are more filling, so it's a give and take situation.  I definitely thought that I was eating candy more than a healthier snack. If that's what you like then this is recommended.",Neutral,Positive,Positive
our family did not leke thast at all. Din not atst lke figs. They were sweet enough but tasted like purnes.,Negative,Positive,Positive
"I have never seen my dogs as happy as when they seem me take out the greenies bag.  They are pricey but, what can you do?",Positive,Positive,Positive
"Even though it says it's a medium roast, it's more mild and weak flavored. Would definitely have to use more pods to get better flavor. My son also tried it and used 2 pods for a 16 oz to go cup. He agreed it was weak but also commented that it had an odd flavor note to it.",Neutral,Positive,Negative
"Found it at Whole Foods. It doesn't taste much like coffee but it's good in a different way, and definitely has similarities. I was expecting to have to put milk and maybe sugar in it like I do with coffee (not a fan of black, sorry) but I'm really liking it plain. Might change it up eventually, but on its own it's very good, a unique and interesting flavor. A little burnt. I like burnt.",Positive,Positive,Positive
"Healthy, kids love it and it's easy to take along... What else can you ask for?",Positive,Positive,Positive
"This Twinings tea formulation results in what might at first seem self-contradictory: a mild, but flavorful, black tea. Many tea lovers like a strong, black tea, and I, too, enjoy these. But sometimes you want something that's not so powerful, perhaps after you've already had a number of cups, or perhaps late in the afternoon or in the evening. This Twinings blend fits the bill perfectly. It is smooth, almost silky to the taste, with a mild black tea flavor that also has a hint of aroma. It's really a welcome addition to any tea-lover's tea set, and when you also consider the more than reasonable price, it's easily a home run.<br /><br />Like most Twinings teas, the bags are individually wrapped to keep freshness using a sealed, moisture resistant paper. The box I just picked up has a freshness code two years from now, so that should more than suffice for most uses, and you don't have to worry about going through an entire box soon after you purchase it because you are worried about the teas going stale.<br /><br />An easy five-star recommendation for flavor, mildness, packaging, and price.",Positive,Positive,Positive
This powder is great for adding a mocha flavor to baked goods. It is easy to work with too.,Positive,Positive,Positive
My vet turned my dog onto these chews.  They're great for his teeth and not harmful to his health as rawhide would be.  I found the best price on Amazon.com.  I will continue to buy them.,Positive,Positive,Positive
"I handed out samples to my parents toy poodles and my Newfoundland and they all thoroughly enjoyed them. The size of the treat is more appropriate for a small to medium dog than my large Newf, though that didn't stop her from wanting one when I picked up the bag.<br /><br />The ingredient list is pretty basic, which is good. Preservatives always make me a little uneasy, but the list is much better than the typical grocery store brand. If they were a snack for me, I'd say they went a little too heavy on the smoke flavor. The dogs didn't mind, and the smell didn't seem to stay on my hands for too long.<br /><br />I won't be buying them again, but primarily because of my dog's size, and because she would much rather have a piece of broccoli or some beans than something out of a plastic bag (odd, I know).",Positive,Positive,Positive
"1st: my cats really don't eat this brand with much relish like they did when Wellness had the mylar bags. We really miss those bags, the food just seemed to taste better to my cats. Canned, they won't touch any flavor but turkey.<br /><br />2nd: I've had 3 out of 12 in a case smell off and even the dogs won't touch it. So just check yours JIK.<br /><br />What has happened to this brand? They were the BEST 2 years ago!",Negative,Positive,Positive
"Arrived promptly.  Tastes good and is helping me use more tofu in diet.  Leftovers stores very well.  Price is reasonable; and most important, availability is important since not found locally.",Positive,Positive,Positive
It was wonderful to find these coffee beans; we've been looking for them since we returned from our trip to Italia.  The wonderful aroma and flavor takes us back to the little kitchens of our cousins and sidewalk cafes of Rome and Bologna.,Positive,Positive,Positive
very wonder very light melow taste tea. not over powerful. great sit down read take knote type of tea. i tryed out see how good was.<br />well worth money spend.,Positive,Positive,Positive
"These bulbs work great, have had them for over a month now and still going strong, no failures. They take a brief amount of time to reach full brightness (5-20 seconds depending on room temperature)but are the equivalant of a 150 watt bulb.",Positive,Positive,Positive
"my son has never been a big baby food fan but this particular one he LOVES. he will suck the whole thing down in a matter of minutes. I love that this has chia in it, a huge superfood with lots of omega 3's. I particularly love that because we are vegetarians and it is hard to find vegeterian baby food even when it does only include fruits or vegetables as some companies add gelatin and tuna oil. thank you happy tot!",Positive,Positive,Positive
"I was very excited that 7 years later, they decide to bring ""Delfa Rolls"" or ""Danish Ribbons"" back.  Seeing these reminded me of my childhood, so I bought a case.  It took WAY too long to receive the package.  It came a day after the latest estimation date.  I busted into the box so fast.  Ripped the packaging and dug right in.  As soon at it hit my mouth I knew.  These are NOT the same as they once were.  They taste fine, but they are not the same.  I think licorice laces you get at CVS or RiteAid for $0.99 are closer to the taste of ""Delfa Rolls"" than these are.  I'm very very disappointed!",Negative,Negative,Negative
I make soap so the dark color interferes with the colors i add. I can only use greens and blues.,Negative,Positive,Neutral
"This is THE mmmost delicious Kind bar there is! Its like eating a candy bar, except its good for you.",Positive,Positive,Positive
"I used to buy this product one box at a time at the local specialty market for a lot more than this. Great product, easy to cook and wonderful taste.",Positive,Positive,Positive
"This is an all-around great movie from the 90's.  If you like comedy/horror, this is for you.  Alec Baldwin is great, and Michael Keaton is AWESOME as Beetlejuice.  Classic movie especially in Blu-Ray.",Positive,Positive,Positive
"Without a list of ingredients, I can't buy this product.  There is no way to contact the buyer.  It's kind of scary.",Negative,Positive,Negative
"The Dark Magic was highly recommended by others, and I tried it. It is really good coffee, in both decaf and regular. It is my K-cup of choice for a great cuppa joe on a break from a busy day.<br />On special occasions I like the flavored stuff, but when you want a good, honest cup- this is it for me.",Positive,Positive,Positive
Being able to buy a 1000 count box and have it shipped overseas to my APO was awesome. I am a lover of coffee but not excessive sugar or artificial sweeteners. This was well worth the price.,Positive,Positive,Positive
Box arrived in great shape. The cookies are easy to make and they taste great!! They were fresh and scrumptious.,Positive,Positive,Positive
"50:1 lemon lotus 4 pack shots (first time user) Item was mind altering but not as powerfull as expected, started with one shot early in the day and recieved mild effects felt sort of like an alcohol buzz, later in the day i had another shot and had the same effects as b4 drank a can of beer and another shot trying to get more out of the lotus within the hour i did not feel much of a change,had a 3rd shot and no change 45 minutes later i was sober. problem could be because i didnt use right, was left wondering if maby you can only get so much effect out of product similar to kratom (you can only get so high with kratom after that you get sick and misureable) then thought maby i was suposed to take all 4 shots at once for the great feeling and phychoactive or hipnotic effect who knows it was fun anyway. After i do more research on using lotus i will most likely buy this product again and give it another run.<br />  Please do not let my story discourage you from buying and trying this product. my intent was to get the message across if you dont know how to use this product learn about it first then try it out, that way the seller doesnt get blamed for your poor results",Positive,Positive,Positive
"I normally love these chips when I buy them from the grocery store, however you can never find them in the small bags.  I was so excited to find them here on Amazon ... but these chips arrived very stale, I was so disappointed.  My guess, they were just old!<br /><br />***UPDATED Review*** Thank you Amazon for quickly handling this issue.  The next batch of chips that I received were fresh and delicious!  You guys get an A+ in customer service.  :-)",Positive,Positive,Positive
"What can you possibly dislike about Puddles? Koeze's puddles are by far the most amazing puddle/turtle/bear-claw candy out there. End of story!<br /><br />Puddles are a holiday tradition in my husband's family. After a few years of rationing the small jar through January, I ordered my own box.  We've now moved on to the larger jar of milk and dark... with a few random orders throughout the year ;)  The caramel is sooo soft and delicious, the nuts are perfect, and the chocolate is a nice quality. I've never met a person who disliked puddles. The price and almost exclusively online availability aren't necessarily a selling point, but those two factors may be the only thing stopping me form living on Puddles for the rest of my life or moving into the Koeze's parking lot.  If you think I'm joking than you've obviously never eaten a Puddle.<br /><br />They can be hard to find closer to Christmas; just about everyone sells out by the 15th of December. The price is fairly consistent and most sites ship from Koeze's directly.  Order early and stock up!",Positive,Positive,Positive
"this product is great the smell was bad but over all it was great. the baby sleeps much better, no gas.",Positive,Positive,Positive
"This is the 2nd Mio product I've tried and I must say that it is a little dissapointing.  There are no guidelines as to what quantity would provide the optimal taste; I suppose that the concept it is ""season to taste"" product.  If you want your beverage to taste more like a weak flavored water, use less--if you want a more pronounced taste use more.  I found in my trials that a few drops are too little, and a squirt can be too much.  I like my drinks to taste like someting, so I've used more.  The sweetness is a bit overpowering; but using less results in a weak drink that I found unpalatable.  I suppose this product is best for those who want tepid tasting flavored water, in that case a few drops would suffice and a bottle would last quite a while.  I found it to be very artificial tasting and not as good as those drink pouches you put in a bottle of water.  The only really good thing about it is that since it is a liquid, it dissolves readily in your bottled water whether the water is room temperature or cold.  So I'd say this product is not for me; but those wanting someting less sweet than your average diet drink mix might find it appealing.",Neutral,Positive,Positive
Hard to find different teas at local stores.  Cinnamon Apple is great at anytime of the day or night.  Great taste.,Positive,Positive,Positive
"excellent product!  Easy to prepare and tastes very close to restaurant quality meal.  However, do note that it is over a dollar cheaper per single package  at walmart.",Neutral,Positive,Positive
"Two of Aunt Gussie's cookies contain 23% of daily fat allowance!  The cookies are so full of grease they fall apart.  They may be sugar free and gluten free, but they make it up with mostly FAT!  I can't even give them to my grandchildren!",Negative,Positive,Positive
"Here you have an excellent tasting product that isn't THAT bad for you - even the carb-conscious folks. One serving has 28g of sugars and 2g of fiber - yes, fiber even. That's 4 tablespoons. I, personally, only need 2 so cut that in half, which is the same sugars as a light yogurt.<br /><br />Anyway, on to the best part. If you are like me and have grown addicted to the sweet tasting mochas from any of the number of specialty coffee places out there (Tully's, Peet's, Starbucks, etc.), but you hate paying $4-$5 for your fix, check this out.<br /><br />Buy your favorite coffee (I like Peet's house blend myself) and brew your regular coffee. Yes, you don't need a $1,000 espresso machine to do this. Add 2-4 tablespoons of ""Ghirardelli Hot Chocolate Mix , Chocolate Mocha"" to a large, dry cup (I use 2), pour in your hot coffee. Mix thoroughly. Now, add your favorite creamer (I like Mocha Mix light or nonfat lactose free milk). Stir. And, you have yourself a darn good mocha w/out the espresso machine hassle or the cost.<br /><br />Now, throw it in your favorite spill-free travel coffee cup and head off to work bypassing the unsuspecting grumpies standing in line for 10-minutes waiting to pay $5 for their chocolaty caffeinated beverage. Just smile knowing now you have an extra $100+ per month for something else.<br /><br />Excuse me whilst I take another sip of mine.",Positive,Positive,Positive
"This review will make me sound really stupid, but whatever. I don't really care as long as people find out what's real and can avoid my mistakes.<br /><br />I got my wonderful little sweet Bella Bean when she was a few days shy of three years old. She had been bounced around from house to house and eating whatever was cheap. I have had cats around me my entire life, for about twenty-five years now. My mother always just fed them whatever, the kinds of food you buy in the supermarket - Friskies, Nine Lives, Kit & Kaboodle, stuff like that. And our cats were always fine, at least in terms of their eating habits. They would eat in the morning, stop when they were done, come back, and eat some more when they got hungry.<br /><br />My housemate at the time was working for Hill's and assured me that this was the best food ever made, so great, so on and so forth. I now know that she is an utter buffoon, but I initially trusted her judgment, which is so unfortunate because she doesn't think. She also had plenty of coupons for free or deeply discounted bags, which made it a much more attractive choice.<br /><br />I first tried feeding the little Bean an unmeasured amount of Science Diet in a bowl, but that didn't work, as she would devour it in one sitting. So then I took to measuring it, and she did the same thing. Then I started parsing it out to twice a day. That didn't work either, because she would start going crazy in the middle of the day, running around, intentionally destroying things, deliberately spilling her water, crying, etc., until she got more food. So then I split it into three servings. Same thing. Then it got to be four servings. That was a little better, but it was too much maintenance and unrealistic to be around every day to feed her four times. So then it went back to three. All the while, I was trying to reduce the amount of food I was feeding her to less than 3/4 of a cup because she was a little chubby. Reducing was hell. She became even more hungry, but I figured she would get used to it. Not really.<br /><br />For over a year, she would wake me up every morning looking for food in a serious way, knocking things off my desk, ripping up any paper she could find, scratching at the door and committing general acts of mischief. As soon as she got food, she was back to her sweet self, but only for three or four hours.<br /><br />We thought she was bored, we thought she was a little nutty, and maybe even had a kitty eating disorder. She always wanted food. It was kind of funny but in the end it was just sad.<br /><br />A few weeks back, we took her to a new (good, non-money factory) vet for her second checkup since I've had her. I talked with him about her being always hungry. He asked what she ate, and I told him the adult indoor Science Diet. Without saying as much, he basically told me that this food is garbage and I should look for something else. He said cat food should have a protein followed by a carbohydrate as the first two ingredients. Science Diet does, in a very loose, by-product kind of way - ground up slaughterhouse leftovers and corn dust. Then they put a bunch of vitamins in it to make it ""healthy,"" instead of just using good ingredients from the beginning. Not that I care about spending money on the Bean, but this food is way too expensive for what it is.<br /><br />So we began transitioning her onto Wellness indoor formula about two weeks ago. She is still eating 50 percent Science Diet with 50 percent Wellness (you really shouldn't just give a cat different food one day out of the blue) but SHE NEVER FREAKS OUT ANYMORE. It's amazing. And it's 100 percent because she is eating real food now, along with that sawdust and chicken hearts I still regrettable have to feed her. We have her down to eating twice a day, only 1/3 cup in TOTAL. She was eating three times a day, 5/8 of a cup in total. Now she eats some in the morning, walks away, eats some more a few hours later, and then looks for dinner about twelve hours after her initial feeding. No more knocking things over, no more trashing Dad's papers on the desk, no more howling, no more deliberately spilled water on the floor. It's incredible.<br /><br />I feel so bad that I was doing this to her for so long. We really thought she was just being dramatic or whatever. But no, she was genuinely hungry because she wasn't eating any real food.<br /><br />Do your cat a favor - buy her or him so food made with real ingredients, things you would eat - Wellness, Halo, Innova, Evo, whatever. Figure it out for yourself, but please don't feed your cat this. It's garbage.",Negative,Positive,Positive
"This sauce is great on any thing, if you want to kick it up a notch.",Positive,Positive,Positive
"Used this product for a summer party.  It was great!  It didn't clump, and was easy to keep heated.  Good tasting too.",Positive,Positive,Positive
"I ordered this product so that I could send it on to some soldiers in Afghanistan. The product came on time and as ordered. Great job, and thanks!",Positive,Positive,Positive
"I've purchaesed twice so far and in both boxes the gum was really hard.  Product is great, but I wouldn't purchase again through amazon due to it being so hard to chew.",Neutral,Positive,Positive
"I love this tea - it tastes just EXACTLY like old fashioned black tea; BUT IT ISN'T!  This is a healthy, caffiene free, herbal tea that doesn't keep me awake, doesn't give me acid stomach, but gives me real taste satisfaction.  This tea is just right!",Positive,Positive,Positive
"My pups LOVE this food!  WELLNESS products have consistently proven to be top of the line food for dogs and cats and their Chicken Stew is no exception!<br />This is so well made and although the sauce is kinda slimy, it is a healthy slimy and one that nourishes my dearest of creatures!  Please note that this food is not meant as a dish all unto itself, but rather, it is a food topper to go with dry food nuggets.  Together the nutrition abounds!",Positive,Positive,Positive
"I was looking at our local World Market for a sparkling Moscato and this one was recommended. I was a little skeptical because it costs a lot less than the one I normally get.<br /><br />I'm hooked. This one is crisp and tastes clean. Normally, the cheaper Moscatos can leave a kind of ""sour"" after taste.<br /><br />I agree with the other reviewer that this is MUCH better than the Barefoot brand. I personally don't like any of the Barefoot wines.",Positive,Positive,Positive
